trip_id,year,month,season,origin_country,destination_country,travel_purpose,traveler_type,num_travelers,duration_nights,transport_mode,accommodation_type,visa_type,booking_channel,advance_booking_days,budget_per_person_usd,total_trip_spend_usd,restaurant_spend_per_day_usd,attractions_visited,local_transport_used,travel_insurance,repeat_visitor,overall_satisfaction,trip_rating,safety_perception,language_barrier,wifi_satisfaction,would_recommend,social_media_shared,eco_friendly_choices,carbon_footprint_kg_co2,currency_satisfaction,health_safety_compliance
TRP0000632,2019,6,Summer (Jun-Aug),India,USA,Adventure/Sports,Couple,2,17,Road,Airbnb/Vacation Rental,E-Visa,Online Travel Agency,8,1251.72,2503.44,20.51,3,Public Transport,Yes,Yes,Dissatisfied,4,Neutral,None,Good,Definitely,Facebook,Yes,110.4,Neutral,Full
TRP0000633,2024,11,Spring (Mar-May),South Korea,Canada,Digital Nomad,Business Traveler,1,43,Air,4-Star Hotel,E-Visa,Direct Hotel/Airline,34,3107.52,3107.52,188.67,7,Taxi/Ride-share,No,No,Neutral,2,Neutral,Severe,Good,Probably Not,TikTok,No,403.0,Neutral,Partial
TRP0000634,2021,6,Autumn (Sep-Nov),Mexico,Thailand,Leisure/Tourism,Solo,1,15,Air,3-Star Hotel,E-Visa,Mobile App,26,2960.41,2960.41,19.02,3,Rental Car,Yes,Yes,Satisfied,3,Neutral,Mild,Good,Probably,Instagram,No,625.6,Unfavorable,Partial
TRP0000635,2021,8,Spring (Mar-May),UAE,Australia,Honeymoon,Solo,1,9,Rail,3-Star Hotel,Visa on Arrival,Online Travel Agency,23,3325.11,3325.11,55.99,4,Public Transport,No,No,Satisfied,5,Unsafe,Mild,Average,Maybe,None,Partially,21.7,Neutral,Partial
TRP0000636,2024,4,Autumn (Sep-Nov),USA,Morocco,Adventure/Sports,Family,3,4,Road,Budget Hotel/Hostel,Visa-Free,Corporate Booking,12,255.72,767.16,63.17,4,Taxi/Ride-share,Yes,Yes,Dissatisfied,4,Safe,Severe,Excellent,Definitely,Twitter/X,Partially,62.1,Favorable,Full
TRP0000637,2022,10,Autumn (Sep-Nov),Italy,Switzerland,Cultural Exchange,Solo,1,11,Air,4-Star Hotel,Visa-Free,Travel Agent,141,2535.74,2535.74,67.87,4,Taxi/Ride-share,No,Yes,Dissatisfied,4,Safe,None,Good,Probably,Facebook,No,715.1,Very Favorable,Partial
TRP0000638,2024,9,Spring (Mar-May),Saudi Arabia,Singapore,Business,Solo,1,3,Rail,5-Star Hotel,Visa on Arrival,Travel Agent,26,6020.51,6020.51,61.17,5,Public Transport,Yes,Yes,Dissatisfied,4,Safe,None,Excellent,Definitely,TikTok,Yes,7.1,Favorable,Full
TRP0000639,2022,8,Autumn (Sep-Nov),Spain,New Zealand,Religious/Pilgrimage,Business Traveler,1,9,Air,Guesthouse,Visa-Free,Mobile App,31,851.38,851.38,94.02,4,Taxi/Ride-share,Yes,Yes,Neutral,3,Very Unsafe,Moderate,Good,Probably,Instagram,Yes,873.6,Favorable,Full
TRP0000640,2023,11,Summer (Jun-Aug),Italy,Thailand,Adventure/Sports,Family,5,5,Air,5-Star Hotel,Visa on Arrival,Travel Agent,224,3339.01,16695.05,88.92,3,Walking/Cycling,Yes,No,Neutral,5,Very Safe,None,Poor,Maybe,Facebook,No,1192.6,Favorable,Full
TRP0000641,2019,4,Autumn (Sep-Nov),Canada,Morocco,Business,Family,5,6,Air,Guesthouse,Embassy Visa,Online Travel Agency,26,734.35,3671.75,35.25,5,Taxi/Ride-share,Yes,No,Satisfied,4,Very Safe,None,Excellent,Probably,Facebook,No,4222.5,Favorable,Full
TRP0000642,2019,2,Winter (Dec-Feb),Italy,France,Religious/Pilgrimage,Business Traveler,1,18,Air,Budget Hotel/Hostel,Visa on Arrival,Direct Hotel/Airline,91,1269.19,1269.19,156.4,3,Tour Bus,Yes,Yes,Satisfied,2,Safe,Moderate,Average,Probably,TikTok,No,546.8,Unfavorable,Full
TRP0000643,2019,1,Autumn (Sep-Nov),Saudi Arabia,Canada,Leisure/Tourism,Couple,2,7,Air,Resort,Visa-Free,Online Travel Agency,29,2690.55,5381.1,35.45,6,Public Transport,Yes,Yes,Satisfied,5,Safe,Mild,Average,Definitely Not,TikTok,Yes,1454.4,Neutral,None
TRP0000644,2023,5,Autumn (Sep-Nov),Netherlands,Maldives,Leisure/Tourism,Group Tour,25,14,Road,Resort,Embassy Visa,Online Travel Agency,160,3841.52,96038.0,177.85,8,Taxi/Ride-share,Yes,No,Very Satisfied,4,Unsafe,None,Poor,Maybe,Instagram,No,997.4,Neutral,Full
TRP0000645,2022,2,Winter (Dec-Feb),France,France,Leisure/Tourism,Solo,1,15,Air,4-Star Hotel,E-Visa,Direct Hotel/Airline,19,2692.66,2692.66,47.25,4,Rental Car,No,Yes,Satisfied,4,Very Safe,Severe,Good,Probably,Instagram,Partially,384.8,Neutral,Full
TRP0000646,2020,2,Spring (Mar-May),Japan,Japan,Digital Nomad,Couple,2,55,Air,3-Star Hotel,E-Visa,Corporate Booking,44,1153.31,2306.62,47.12,3,Tour Bus,No,No,Satisfied,5,Neutral,None,Good,Probably,Facebook,Yes,816.9,Very Unfavorable,Full
TRP0000647,2024,11,Winter (Dec-Feb),Italy,Turkey,Business,Business Traveler,1,5,Air,Budget Hotel/Hostel,E-Visa,Direct Hotel/Airline,95,1439.5,1439.5,29.34,3,Taxi/Ride-share,No,Yes,Satisfied,3,Neutral,Moderate,Excellent,Definitely,Instagram,Partially,492.9,Neutral,Partial
TRP0000648,2019,9,Spring (Mar-May),Germany,Thailand,Family Visit,Solo,1,17,Air,Camping/Glamping,E-Visa,Online Travel Agency,27,400.62,400.62,52.33,2,Rental Car,No,No,Very Satisfied,4,Very Safe,None,Good,Probably Not,Multiple Platforms,Partially,865.8,Unfavorable,None
TRP0000649,2024,12,Autumn (Sep-Nov),Saudi Arabia,France,Digital Nomad,Family,4,61,Air,Airbnb/Vacation Rental,Visa-Free,Online Travel Agency,118,1601.5,6406.0,69.53,6,Tour Bus,Yes,Yes,Satisfied,5,Unsafe,Mild,Average,Probably Not,Facebook,No,2748.2,Unfavorable,None
TRP0000650,2022,2,Winter (Dec-Feb),UK,Singapore,Family Visit,Solo,1,13,Road,4-Star Hotel,Visa-Free,Travel Agent,43,3870.66,3870.66,94.09,2,Public Transport,No,Yes,Satisfied,4,Safe,None,Excellent,Probably,Instagram,Partially,113.6,Unfavorable,None
TRP0000651,2021,1,Autumn (Sep-Nov),South Korea,Greece,Medical Tourism,Business Traveler,1,15,Road,Resort,Visa-Free,Direct Hotel/Airline,41,2800.42,2800.42,36.52,8,Taxi/Ride-share,No,Yes,Very Satisfied,5,Very Safe,Moderate,Average,Probably,TikTok,Partially,70.4,Very Favorable,Full
TRP0000652,2019,4,Spring (Mar-May),Italy,Thailand,Leisure/Tourism,Couple,2,8,Air,Budget Hotel/Hostel,Visa on Arrival,Online Travel Agency,107,662.29,1324.58,66.02,2,Boat,Yes,No,Satisfied,5,Safe,Mild,Excellent,Maybe,None,No,1764.0,Neutral,Partial
TRP0000653,2022,7,Spring (Mar-May),Saudi Arabia,UAE,Education,Couple,2,83,Rail,Airbnb/Vacation Rental,E-Visa,Mobile App,40,761.61,1523.22,23.56,4,Taxi/Ride-share,No,No,Very Satisfied,4,Very Safe,Moderate,No WiFi,Maybe,Instagram,No,59.7,Very Favorable,Partial
TRP0000654,2023,4,Autumn (Sep-Nov),Netherlands,Turkey,Adventure/Sports,Couple,2,19,Air,Guesthouse,Embassy Visa,Direct Hotel/Airline,48,2400.93,4801.86,33.34,3,Taxi/Ride-share,No,No,Very Satisfied,5,Safe,None,Average,Definitely,Twitter/X,Partially,314.7,Very Unfavorable,None
TRP0000655,2021,1,Spring (Mar-May),China,Turkey,Adventure/Sports,Group Tour,16,5,Rail,3-Star Hotel,E-Visa,Travel Agent,27,1087.9,17406.4,175.69,4,Taxi/Ride-share,Yes,No,Satisfied,5,Safe,Severe,Excellent,Definitely,Twitter/X,Partially,732.2,Neutral,Full
TRP0000656,2023,10,Autumn (Sep-Nov),France,Singapore,Leisure/Tourism,Solo,1,8,Air,Resort,Visa on Arrival,Mobile App,15,1363.1,1363.1,94.59,4,Public Transport,No,Yes,Satisfied,4,Neutral,None,Good,Probably,TikTok,Yes,483.6,Very Favorable,Full
TRP0000657,2024,10,Summer (Jun-Aug),Saudi Arabia,Greece,Leisure/Tourism,Couple,2,20,Air,Guesthouse,Visa on Arrival,Online Travel Agency,66,1913.92,3827.84,42.2,0,Boat,No,No,Satisfied,5,Very Safe,Moderate,No WiFi,Definitely,Instagram,Partially,1591.5,Neutral,Partial
TRP0000658,2022,6,Winter (Dec-Feb),Brazil,Turkey,Leisure/Tourism,Family,4,8,Road,3-Star Hotel,Visa-Free,Corporate Booking,37,460.19,1840.76,111.5,8,Taxi/Ride-share,No,Yes,Satisfied,4,Safe,None,Good,Definitely,Facebook,Partially,298.8,Favorable,Partial
TRP0000659,2022,1,Spring (Mar-May),South Korea,Japan,Leisure/Tourism,Family,6,13,Road,Budget Hotel/Hostel,Visa on Arrival,Travel Agent,65,917.31,5503.86,134.96,5,Walking/Cycling,No,Yes,Dissatisfied,5,Safe,None,Average,Maybe,TikTok,No,750.5,Favorable,Full
TRP0000660,2021,8,Autumn (Sep-Nov),France,USA,Business,Family,3,5,Road,Guesthouse,E-Visa,Travel Agent,35,906.16,2718.48,70.52,6,Taxi/Ride-share,Yes,Yes,Neutral,4,Very Safe,None,Poor,Definitely Not,Twitter/X,No,353.7,Favorable,Full
TRP0000661,2022,12,Spring (Mar-May),Pakistan,Egypt,Business,Solo,1,3,Air,5-Star Hotel,Embassy Visa,Corporate Booking,6,13323.92,13323.92,126.01,4,Boat,Yes,Yes,Satisfied,5,Unsafe,Moderate,Good,Definitely,TikTok,No,166.5,Very Favorable,Full
TRP0000662,2020,1,Spring (Mar-May),Netherlands,Thailand,Adventure/Sports,Solo,1,12,Air,Budget Hotel/Hostel,Visa-Free,Online Travel Agency,26,1166.01,1166.01,202.84,4,Tour Bus,No,Yes,Satisfied,4,Safe,None,Average,Probably,Facebook,Yes,358.3,Neutral,Partial
TRP0000663,2023,4,Spring (Mar-May),Japan,UK,Adventure/Sports,Group Tour,27,10,Air,3-Star Hotel,Visa-Free,Online Travel Agency,63,1493.12,40314.24,51.87,4,Taxi/Ride-share,No,Yes,Dissatisfied,4,Very Unsafe,Mild,Poor,Maybe,Instagram,Yes,3787.3,Unfavorable,Full
TRP0000664,2023,6,Spring (Mar-May),UK,Thailand,Leisure/Tourism,Couple,2,12,Air,Resort,Visa on Arrival,Travel Agent,64,2773.77,5547.54,66.95,4,Taxi/Ride-share,No,No,Satisfied,1,Neutral,Mild,Excellent,Definitely,Instagram,Partially,1418.5,Neutral,Partial
TRP0000665,2022,1,Spring (Mar-May),Canada,Egypt,Business,Backpacker,1,6,Road,Resort,Visa-Free,Corporate Booking,53,1076.76,1076.76,49.81,4,Public Transport,Yes,Yes,Satisfied,5,Safe,Severe,Excellent,Definitely,Instagram,Partially,67.9,Unfavorable,None
TRP0000666,2020,10,Spring (Mar-May),Mexico,Canada,Family Visit,Family,6,3,Air,4-Star Hotel,Visa-Free,Travel Agent,26,1720.85,10325.1,70.84,5,Taxi/Ride-share,Yes,No,Very Satisfied,2,Safe,Mild,Average,Probably,Instagram,Partially,578.0,Unfavorable,Partial
TRP0000667,2024,7,Winter (Dec-Feb),Russia,Maldives,Religious/Pilgrimage,Solo,1,11,Air,3-Star Hotel,Visa on Arrival,Travel Agent,11,801.37,801.37,83.86,7,Rental Car,No,No,Satisfied,4,Very Safe,Moderate,Poor,Probably,YouTube,No,621.2,Favorable,None
TRP0000668,2024,6,Autumn (Sep-Nov),Russia,Malaysia,Leisure/Tourism,Couple,2,14,Air,Budget Hotel/Hostel,E-Visa,Online Travel Agency,24,1521.33,3042.66,80.46,3,Taxi/Ride-share,No,Yes,Very Satisfied,4,Very Safe,Moderate,Poor,Maybe,Multiple Platforms,Partially,588.2,Very Favorable,None
TRP0000669,2022,1,Autumn (Sep-Nov),Brazil,Japan,Business,Group Tour,24,3,Air,3-Star Hotel,Visa-Free,Direct Hotel/Airline,127,1735.79,41658.96,39.03,8,Taxi/Ride-share,No,No,Neutral,5,Unsafe,None,Average,Probably,Facebook,Partially,8738.3,Favorable,Full
TRP0000670,2019,2,Winter (Dec-Feb),Spain,Canada,Honeymoon,Couple,1,12,Road,Resort,Visa-Free,Mobile App,39,4028.78,4028.78,90.18,3,Rental Car,No,No,Satisfied,3,Safe,Mild,No WiFi,Definitely Not,Multiple Platforms,Yes,86.8,Very Favorable,Partial
TRP0000671,2022,3,Spring (Mar-May),Germany,Malaysia,Medical Tourism,Couple,1,20,Rail,4-Star Hotel,E-Visa,Online Travel Agency,46,730.21,730.21,45.66,2,Taxi/Ride-share,No,No,Very Satisfied,5,Safe,Mild,No WiFi,Probably Not,TikTok,No,15.9,Unfavorable,Partial
TRP0000672,2024,1,Winter (Dec-Feb),Australia,Thailand,Leisure/Tourism,Backpacker,2,3,Air,Airbnb/Vacation Rental,Visa-Free,Mobile App,62,3825.14,7650.28,82.36,5,Public Transport,No,No,Neutral,3,Unsafe,None,Excellent,Definitely,Multiple Platforms,No,1603.4,Favorable,Partial
TRP0000673,2021,3,Summer (Jun-Aug),Turkey,Indonesia,Business,Solo,1,6,Air,5-Star Hotel,Visa on Arrival,Direct Hotel/Airline,46,1604.56,1604.56,15.47,4,Taxi/Ride-share,Yes,Yes,Satisfied,5,Safe,None,Average,Probably,Facebook,No,189.6,Neutral,Partial
TRP0000674,2024,7,Autumn (Sep-Nov),Australia,France,Religious/Pilgrimage,Couple,2,9,Air,4-Star Hotel,Visa on Arrival,Online Travel Agency,12,2806.39,5612.78,62.69,4,Walking/Cycling,No,Yes,Neutral,3,Very Unsafe,Mild,Good,Definitely,Instagram,No,589.0,Very Favorable,Full
TRP0000675,2024,8,Spring (Mar-May),China,Morocco,Leisure/Tourism,Business Traveler,1,10,Air,Airbnb/Vacation Rental,E-Visa,Mobile App,49,471.8,471.8,94.06,2,Taxi/Ride-share,No,No,Very Dissatisfied,5,Safe,None,Excellent,Probably,Multiple Platforms,No,608.4,Favorable,Full
TRP0000676,2022,10,Summer (Jun-Aug),Saudi Arabia,UK,Leisure/Tourism,Family,5,15,Air,Airbnb/Vacation Rental,E-Visa,Mobile App,42,755.04,3775.2,51.76,3,Taxi/Ride-share,Yes,Yes,Very Satisfied,5,Very Safe,None,Average,Definitely Not,Multiple Platforms,No,1348.1,Very Favorable,Partial
TRP0000677,2022,8,Summer (Jun-Aug),Mexico,UAE,Honeymoon,Couple,1,10,Air,5-Star Hotel,Embassy Visa,Travel Agent,40,6228.38,6228.38,187.67,8,Tour Bus,Yes,No,Very Satisfied,5,Very Safe,Severe,Good,Definitely,Facebook,Yes,564.6,Very Favorable,Full
TRP0000678,2024,1,Spring (Mar-May),Canada,Malaysia,Business,Business Traveler,1,6,Rail,4-Star Hotel,E-Visa,Mobile App,43,2371.65,2371.65,9.87,5,Tour Bus,Yes,Yes,Satisfied,2,Safe,Moderate,Good,Definitely Not,Facebook,Partially,31.8,Favorable,Partial
TRP0000679,2023,8,Autumn (Sep-Nov),Pakistan,Turkey,Business,Couple,1,2,Rail,4-Star Hotel,E-Visa,Online Travel Agency,14,1503.45,1503.45,33.26,1,Public Transport,Yes,Yes,Neutral,3,Very Safe,Mild,No WiFi,Probably,TikTok,Yes,53.4,Neutral,Full
TRP0000680,2021,4,Spring (Mar-May),UAE,Italy,Digital Nomad,Family,3,68,Air,Guesthouse,E-Visa,Corporate Booking,54,2165.45,6496.35,27.53,2,Public Transport,No,No,Neutral,4,Safe,Mild,Good,Definitely,Instagram,No,490.7,Very Favorable,Full
TRP0000681,2023,6,Summer (Jun-Aug),Turkey,Thailand,Cultural Exchange,Group Tour,17,11,Road,Budget Hotel/Hostel,Visa-Free,Direct Hotel/Airline,7,707.89,12034.13,43.73,1,Walking/Cycling,Yes,Yes,Satisfied,3,Safe,Mild,Excellent,Probably,TikTok,Partially,434.5,Very Unfavorable,Full
TRP0000682,2019,8,Autumn (Sep-Nov),China,Turkey,Leisure/Tourism,Business Traveler,1,5,Air,Budget Hotel/Hostel,Visa-Free,Mobile App,39,508.96,508.96,70.5,3,Rental Car,No,No,Very Satisfied,3,Safe,Mild,Poor,Maybe,TikTok,No,223.7,Neutral,Full
TRP0000683,2024,9,Spring (Mar-May),Russia,Indonesia,Leisure/Tourism,Solo,1,13,Air,4-Star Hotel,Visa-Free,Online Travel Agency,28,612.42,612.42,106.26,2,Rental Car,Yes,Yes,Satisfied,5,Safe,None,Good,Definitely,Instagram,No,150.6,Very Unfavorable,None
TRP0000684,2022,1,Winter (Dec-Feb),France,UAE,Leisure/Tourism,Couple,2,4,Air,4-Star Hotel,Visa-Free,Corporate Booking,20,3392.06,6784.12,52.6,3,Public Transport,No,No,Satisfied,5,Very Safe,Moderate,Average,Maybe,None,No,618.7,Favorable,Full
TRP0000685,2021,2,Autumn (Sep-Nov),Spain,Japan,Digital Nomad,Group Tour,12,36,Air,Budget Hotel/Hostel,E-Visa,Mobile App,22,1318.3,15819.6,77.55,8,Walking/Cycling,Yes,Yes,Dissatisfied,4,Safe,Mild,Average,Definitely,Multiple Platforms,Yes,4584.4,Very Favorable,Full
TRP0000686,2023,9,Autumn (Sep-Nov),Russia,UK,Religious/Pilgrimage,Couple,2,15,Air,5-Star Hotel,Visa on Arrival,Online Travel Agency,20,6080.16,12160.32,140.54,9,Tour Bus,Yes,No,Very Satisfied,4,Neutral,None,Poor,Maybe,Facebook,Partially,1542.0,Neutral,Full
TRP0000687,2019,10,Summer (Jun-Aug),Russia,New Zealand,Leisure/Tourism,Business Traveler,1,7,Air,Airbnb/Vacation Rental,E-Visa,Online Travel Agency,42,312.63,312.63,144.48,6,Rental Car,Yes,No,Very Satisfied,5,Safe,Mild,Good,Maybe,TikTok,No,644.1,Very Unfavorable,Full
TRP0000688,2024,12,Autumn (Sep-Nov),Japan,France,Family Visit,Couple,2,20,Rail,Budget Hotel/Hostel,E-Visa,Direct Hotel/Airline,45,671.67,1343.34,42.6,9,Taxi/Ride-share,No,No,Dissatisfied,4,Very Safe,Moderate,Excellent,Definitely Not,TikTok,Partially,93.9,Favorable,None
TRP0000689,2022,5,Autumn (Sep-Nov),Canada,France,Family Visit,Backpacker,1,7,Air,Resort,E-Visa,Online Travel Agency,50,2100.9,2100.9,100.42,4,Public Transport,No,No,Very Dissatisfied,4,Safe,Mild,Excellent,Definitely,Facebook,Partially,296.1,Favorable,Full
TRP0000690,2022,10,Spring (Mar-May),India,Canada,Religious/Pilgrimage,Couple,2,11,Air,Airbnb/Vacation Rental,Visa-Free,Mobile App,38,900.96,1801.92,27.67,8,Rental Car,Yes,Yes,Satisfied,5,Very Safe,Moderate,Good,Probably Not,Facebook,No,1628.0,Favorable,Partial
TRP0000691,2023,4,Winter (Dec-Feb),Brazil,Egypt,Leisure/Tourism,Family,5,20,Air,4-Star Hotel,Visa-Free,Online Travel Agency,22,2468.82,12344.1,45.77,4,Tour Bus,Yes,Yes,Very Satisfied,2,Safe,Moderate,Average,Maybe,TikTok,Partially,881.0,Favorable,Full
TRP0000692,2024,9,Winter (Dec-Feb),Russia,USA,Medical Tourism,Business Traveler,1,11,Road,Resort,Embassy Visa,Corporate Booking,4,6494.51,6494.51,118.9,3,Rental Car,Yes,Yes,Satisfied,4,Neutral,None,Average,Definitely,Multiple Platforms,No,75.8,Favorable,Full
TRP0000693,2023,1,Winter (Dec-Feb),Russia,UK,Leisure/Tourism,Family,4,9,Air,Budget Hotel/Hostel,Visa-Free,Online Travel Agency,15,234.0,936.0,53.68,3,Public Transport,Yes,Yes,Satisfied,4,Safe,Moderate,No WiFi,Probably,Facebook,No,876.6,Neutral,Full
TRP0000694,2024,11,Spring (Mar-May),Italy,Canada,Leisure/Tourism,Solo,1,15,Air,3-Star Hotel,E-Visa,Travel Agent,83,380.36,380.36,105.99,7,Taxi/Ride-share,No,Yes,Satisfied,5,Safe,None,Average,Probably,Multiple Platforms,Partially,358.4,Neutral,Full
TRP0000695,2019,12,Autumn (Sep-Nov),India,Italy,Business,Family,3,4,Air,4-Star Hotel,E-Visa,Online Travel Agency,28,3674.81,11024.43,181.79,3,Rental Car,Yes,Yes,Satisfied,4,Safe,None,Poor,Probably,None,No,550.7,Favorable,Full
TRP0000696,2023,2,Summer (Jun-Aug),Australia,Italy,Business,Family,6,5,Air,Budget Hotel/Hostel,Visa-Free,Direct Hotel/Airline,80,192.39,1154.34,60.98,7,Walking/Cycling,Yes,Yes,Very Satisfied,5,Very Safe,Mild,Average,Probably,None,No,3809.9,Unfavorable,Full
TRP0000697,2024,6,Winter (Dec-Feb),Germany,Maldives,Family Visit,Couple,2,10,Air,5-Star Hotel,Visa on Arrival,Online Travel Agency,17,2674.33,5348.66,100.59,7,Rental Car,No,Yes,Satisfied,2,Safe,None,Good,Definitely,Facebook,No,1408.1,Unfavorable,Full
TRP0000698,2024,8,Summer (Jun-Aug),Turkey,Japan,Business,Family,4,6,Air,Airbnb/Vacation Rental,Embassy Visa,Online Travel Agency,10,1040.01,4160.04,87.0,3,Rental Car,No,No,Satisfied,5,Very Safe,None,Good,Definitely,TikTok,No,1862.0,Favorable,Full
TRP0000699,2024,11,Summer (Jun-Aug),South Korea,France,Leisure/Tourism,Family,4,3,Rail,4-Star Hotel,E-Visa,Direct Hotel/Airline,113,1404.32,5617.28,63.34,7,Walking/Cycling,Yes,No,Satisfied,5,Neutral,Moderate,Good,Definitely,Instagram,Partially,80.2,Neutral,Full
TRP0000700,2020,1,Autumn (Sep-Nov),Mexico,Thailand,Leisure/Tourism,Family,5,8,Air,3-Star Hotel,E-Visa,Mobile App,45,1516.06,7580.3,330.36,4,Taxi/Ride-share,No,Yes,Very Satisfied,5,Very Safe,Mild,Good,Definitely,Instagram,Partially,1724.2,Neutral,Full
TRP0000701,2020,10,Winter (Dec-Feb),France,UK,Business,Family,6,4,Road,Airbnb/Vacation Rental,Visa on Arrival,Online Travel Agency,87,2302.78,13816.68,24.74,3,Rental Car,No,Yes,Dissatisfied,5,Safe,Mild,Poor,Probably,Multiple Platforms,Yes,851.2,Very Favorable,None
TRP0000702,2022,1,Autumn (Sep-Nov),Brazil,Spain,Leisure/Tourism,Group Tour,27,8,Air,Budget Hotel/Hostel,Embassy Visa,Travel Agent,27,150.0,4050.0,63.49,5,Taxi/Ride-share,No,No,Satisfied,5,Neutral,Moderate,Excellent,Probably,Instagram,Partially,6148.0,Very Favorable,Full
TRP0000703,2019,3,Autumn (Sep-Nov),France,Japan,Honeymoon,Family,5,11,Cruise Ship,Resort,E-Visa,Mobile App,45,19908.13,99540.65,67.91,3,Tour Bus,No,No,Satisfied,3,Safe,Moderate,Excellent,Definitely,Multiple Platforms,Partially,2728.3,Very Favorable,Partial
TRP0000704,2021,4,Winter (Dec-Feb),Pakistan,USA,Education,Family,4,74,Air,Resort,Visa-Free,Online Travel Agency,82,8995.47,35981.88,74.29,10,Walking/Cycling,Yes,No,Satisfied,5,Safe,None,Poor,Definitely,Facebook,No,2227.8,Neutral,Full
TRP0000705,2024,8,Winter (Dec-Feb),Italy,Singapore,Adventure/Sports,Family,4,7,Air,Airbnb/Vacation Rental,Visa-Free,Direct Hotel/Airline,14,1445.59,5782.36,58.16,5,Public Transport,Yes,Yes,Satisfied,4,Safe,None,Good,Probably,Instagram,No,2421.9,Favorable,Full
TRP0000706,2023,1,Autumn (Sep-Nov),Russia,Morocco,Leisure/Tourism,Couple,2,16,Air,4-Star Hotel,Visa-Free,Corporate Booking,14,3537.92,7075.84,73.76,4,Taxi/Ride-share,Yes,No,Satisfied,4,Safe,Severe,Good,Probably,None,No,1407.0,Unfavorable,None
TRP0000707,2020,2,Spring (Mar-May),China,Morocco,Medical Tourism,Group Tour,29,14,Cruise Ship,Guesthouse,Embassy Visa,Direct Hotel/Airline,53,2299.18,66676.22,105.96,5,Rental Car,No,No,Satisfied,5,Safe,None,Poor,Definitely,TikTok,No,14118.8,Neutral,Full
TRP0000708,2024,4,Summer (Jun-Aug),Saudi Arabia,UAE,Religious/Pilgrimage,Family,4,7,Air,3-Star Hotel,Visa-Free,Online Travel Agency,14,877.94,3511.76,137.51,1,Public Transport,No,No,Satisfied,3,Unsafe,None,Good,Definitely,None,Yes,1657.7,Unfavorable,Full
TRP0000709,2022,11,Spring (Mar-May),USA,Turkey,Leisure/Tourism,Family,6,7,Air,4-Star Hotel,E-Visa,Online Travel Agency,85,7643.98,45863.88,49.4,5,Taxi/Ride-share,No,No,Very Satisfied,5,Neutral,None,Average,Maybe,None,No,954.8,Neutral,Full
TRP0000710,2024,10,Winter (Dec-Feb),India,Japan,Business,Couple,2,4,Road,Budget Hotel/Hostel,E-Visa,Online Travel Agency,11,713.19,1426.38,54.72,1,Public Transport,Yes,Yes,Neutral,5,Safe,Mild,Good,Definitely,None,Partially,83.2,Very Favorable,Partial
TRP0000711,2023,12,Spring (Mar-May),Canada,USA,Religious/Pilgrimage,Business Traveler,1,14,Cruise Ship,Airbnb/Vacation Rental,Visa-Free,Corporate Booking,28,800.05,800.05,39.01,4,Taxi/Ride-share,Yes,No,Satisfied,5,Safe,Moderate,Good,Maybe,YouTube,No,472.0,Neutral,Full
TRP0000712,2023,12,Summer (Jun-Aug),China,Thailand,Leisure/Tourism,Solo,1,4,Cruise Ship,Airbnb/Vacation Rental,Embassy Visa,Online Travel Agency,31,1366.1,1366.1,110.13,5,Taxi/Ride-share,No,Yes,Very Satisfied,3,Unsafe,Moderate,Good,Probably,Facebook,No,412.7,Neutral,Full
TRP0000713,2024,6,Spring (Mar-May),Japan,USA,Cultural Exchange,Couple,2,6,Air,4-Star Hotel,Visa on Arrival,Corporate Booking,78,11891.81,23783.62,48.14,2,Rental Car,Yes,Yes,Very Satisfied,1,Safe,Moderate,Good,Definitely,None,No,894.8,Very Favorable,Full
TRP0000714,2022,5,Summer (Jun-Aug),South Korea,France,Leisure/Tourism,Family,4,16,Air,Airbnb/Vacation Rental,Embassy Visa,Direct Hotel/Airline,7,2445.69,9782.76,51.91,5,Taxi/Ride-share,Yes,No,Satisfied,4,Safe,None,Excellent,Definitely Not,Multiple Platforms,No,659.3,Favorable,None
TRP0000715,2020,9,Winter (Dec-Feb),Japan,Singapore,Leisure/Tourism,Group Tour,12,5,Air,Camping/Glamping,Visa on Arrival,Corporate Booking,51,667.57,8010.84,28.91,3,Taxi/Ride-share,No,No,Neutral,5,Safe,Mild,Good,Probably,None,Partially,9806.1,Neutral,None
TRP0000716,2022,5,Autumn (Sep-Nov),Italy,Singapore,Religious/Pilgrimage,Family,5,19,Air,Airbnb/Vacation Rental,Visa-Free,Direct Hotel/Airline,29,923.58,4617.9,81.64,5,Taxi/Ride-share,Yes,Yes,Neutral,5,Safe,None,Good,Definitely,None,Partially,496.0,Very Favorable,Full
TRP0000717,2022,11,Summer (Jun-Aug),Russia,Indonesia,Digital Nomad,Family,4,58,Road,3-Star Hotel,Visa-Free,Online Travel Agency,17,484.91,1939.64,104.07,7,Taxi/Ride-share,No,No,Very Dissatisfied,3,Safe,None,Good,Probably,Twitter/X,Yes,380.7,Unfavorable,None
TRP0000718,2022,10,Autumn (Sep-Nov),Mexico,Switzerland,Adventure/Sports,Backpacker,1,17,Air,4-Star Hotel,E-Visa,Travel Agent,25,4150.83,4150.83,44.54,5,Taxi/Ride-share,No,No,Neutral,4,Very Safe,Mild,Good,Probably,Multiple Platforms,No,884.8,Very Favorable,None
